平成23年,人口動態調査,,
上巻　付録　第４表－１　年次・都道府県・性別人口,－総数－
注：１)各年次の人口は10月１日現在。昭和10年、22年、25年、30年、35年、40年、45年、50年、55年、60年、平成2年、7年、12年、17年、22年は国勢調査人口である。
　　２)昭和40年以前は総人口、45年以降は日本人人口である。
　　３)昭和22年は地域的に配分されない調査もれを除く。
　　４)昭和35年の長野県西筑摩郡山口村と岐阜県中津川市の境界紛争地域の人口73人(男39人、女34人)は全国総数に含まれているが、長野県・岐阜県のいずれにも含まれていない。
　　５)昭和45年、50年、55年、平成2年(按分済み人口)、7年、12年(按分済み人口)、17年（按分済み人口）、22年（按分済み人口）については、国勢調査確定数。45年、50年、55年の各年報では、
　　　 それぞれ１％抽出集計結果を用いたので本報告書と数値が異なる。
　　６)昭和60年については、全国は日本人人口、都道府県は総人口であり、「昭和60年国勢調査抽出速報集計結果」を用いた。


２９奈　良,620471,779935,763883,776861,781058,825965,925403,1071894,1202655,1303900,1368434,1421770,1434340,1412450,1395000,1391000,1391395,1387000
３０和歌山,864087,959999,982113,1006819,1002191,1026975,1038348,1067419,1081999,1086600,1069930,1075666,1065104,1030942,1007000,1000000,997305,990000
３１鳥　取,490461,587606,600177,614259,599135,579853,567405,579779,602335,620200,613792,612602,610224,603156,591000,587000,585005,582000
３２島　根,747119,894267,912551,929066,888886,821620,772000,767357,783143,797500,779317,768865,757072,737753,720000,715000,712516,708000
３３岡　山,1332647,1619622,1661099,1689800,1670454,1645135,1700064,1806484,1862741,1914100,1917173,1937865,1938268,1942414,1930000,1924000,1926378,1922000
３４広　島,1804916,2011498,2081967,2149044,2184043,2281146,2422069,2630578,2722521,2820200,2832764,2858462,2855782,2849333,2836000,2831000,2827820,2824000
３５山　口,1190542,1479244,1540882,1609839,1602207,1543573,1497703,1541072,1572752,1588500,1559181,1542204,1515291,1480129,1452000,1444000,1439011,1431000
３６徳　島,728748,854811,878511,878109,847274,815115,790845,804784,824433,831400,830753,830479,821369,805743,790000,785000,781300,776000
３７香　川,748656,917673,946022,943823,918867,900845,906951,960233,998442,1034000,1021571,1023865,1017973,1006383,996000,992000,988786,985000
３８愛　媛,1164898,1453887,1521878,1540628,1500687,1446384,1416299,1463158,1504298,1533600,1512674,1503411,1488550,1461038,1436000,1429000,1423425,1416000
３９高　知,714980,848337,873874,882683,854595,812714,786058,807035,829609,843400,823853,814302,811516,793365,771000,764000,761239,755000
４０福　岡,2755804,3178134,3530169,3859764,4006679,3964611,4004275,4266394,4523770,4753200,4784331,4896451,4984938,5011273,5013000,5014000,5030961,5038000
４１佐　賀,686117,917797,945082,973749,942874,871885,837063,836326,864052,890700,876300,882320,874068,863046,852000,849000,846146,843000
４２長　崎,1296883,1531674,1645492,1747596,1760421,1641245,1566634,1568429,1586916,1599500,1558502,1540498,1511864,1472955,1434000,1424000,1420166,1411000
４３熊　本,1387054,1765726,1827582,1895663,1856192,1770736,1697991,1713300,1788076,1836200,1837612,1855087,1854933,1835575,1813000,1806000,1809626,1805000
４４大　分,980458,1233651,1252999,1277199,1239655,1187480,1152520,1187299,1225548,1246300,1233612,1227269,1216436,1202682,1192000,1187000,1187599,1183000
４５宮　崎,824431,1025689,1091427,1139384,1134590,1080692,1050027,1083957,1150321,1183500,1167286,1173631,1167555,1149818,1133000,1129000,1131381,1127000
４６鹿児島,1591466,1746305,1804118,2044112,1963104,1853541,1728075,1722732,1783351,1833600,1795908,1791419,1782567,1748272,1713000,1703000,1700683,1693000
４７沖　縄,592494,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,1036288,1101062,1177000,1217472,1265783,1311482,1354695,1369000,1375000,1385104,1393000
